time [s],expiration [NA](/api/datatype/35/)
1428.3984375,22859
1429.609375,22848
1430.9453125,22848
1432.828125,22849
1434.0234375,22854
1435.4140625,22855
1436.9375,22865
1438.4140625,22879
1440.6796875,22845
1447.4765625,22788
1449.0546875,22842
1450.8125,22840
1454.0546875,22848
1455.7421875,22851
1459.03125,22848
1461.234375,22857
1463.1875,22867
1464.90625,22870
1466.5625,22872
1468.140625,22878
1469.796875,22873
1471.28125,22872
1472.6796875,22863
1473.953125,22869
1475.546875,22869
1476.8671875,22860
1478.203125,22865
1479.40625,22849
1480.578125,22860
1481.421875,22847
1482.5546875,22849
1483.4296875,22848
1484.8125,22843
1485.9296875,22850
1487.09375,22835
1487.90625,22849
1489.2421875,22836
1490.1640625,22842
1491.4921875,22861
1492.4375,22852
1493.875,22856
1495.40625,22863
1496.2734375,22864
1497.5859375,22863
1498.546875,22868
1499.8671875,22866
1501.5625,22860
1502.90625,22848
1503.78125,22856
1504.4921875,22848
1505.9453125,22856
1507.09375,22848
1508.25,22876
1509.140625,22836
1510.6015625,22852
1511.328125,22858
1512.109375,22864
1512.84375,22873
1513.625,22869
1514.421875,22880
1515.0625,22882
1515.7734375,22838
1516.6953125,22835
1518.0546875,22839
1519.046875,22841
1520.3828125,22851
1521.328125,22852
1522.6875,22854
1523.8828125,22841
1526.203125,22860
1527.390625,22874
1528.34375,22877
1530.078125,22877
1531.203125,22866
1532.71875,22871
1533.90625,22871
1535.078125,22868
1536.25,22876
1537.5234375,22872
1538.6171875,22886
1539.8828125,22871
1541.3359375,22859
1542.7890625,22870
1544.2890625,22873
1545.8515625,22857
1547.3671875,22847
1548.9140625,22848
1550.109375,22844
1551.375,22859
1552.8046875,22875
1553.78125,22867
1555.1640625,22866
1556.15625,22866
1557.59375,22873
1558.9140625,22892
1561.15625,22858
1563.3203125,22853
1565.03125,22876
1567.453125,22867
1569.609375,22859
1571.515625,22861
1573.0625,22854
1574.578125,22871
1575.8046875,22893
1576.8671875,22892
1578.28125,22895
1579.8671875,22884
1581.34375,22884
1582.8671875,22891
1584.3515625,22891
1586.3984375,22876
1588.4296875,22873
1590.359375,22873
1592.0546875,22872
1594.0390625,22870
1595.7734375,22871
1597.640625,22870
1599.1953125,22878
1600.921875,22883
1602.703125,22876
1604.4609375,22882
1606.09375,22874
1607.7421875,22877
1609.2265625,22882
1610.5859375,22870
1612.0546875,22880
1613.609375,22875
1615.1484375,22881
1617.2265625,22859
1618.40625,22856
1620.5390625,22845
1624.0234375,22853
1625.2890625,22849
1626.328125,22869
1627.84375,22868
1628.953125,22861
1633.375,22862
1634.4140625,22873
1635.6875,22851
1640.1328125,22834
1644.359375,22831
1646.3515625,22842
1647.40625,22834
1649.6953125,22829
1652.2578125,22824
1655.1328125,22812
1658.1328125,22812
1659.7109375,22848
1661.5546875,22855
1665.03125,22798
1669.4140625,22787
1671.3203125,22877
1672.734375,22862
1674.2421875,22864
1676.1484375,22868
1678.2421875,22881
1679.6328125,22867
1683.03125,22876
1685.3203125,22867
1687.4765625,22870
1689.609375,22851
1695.0859375,22865
1697.5,22851
1701.671875,22832
1705.1484375,22823
1708.140625,22834
1711.0078125,22850
1713.375,22840
1715.15625,22863
1716.8828125,22863
1718.5625,22862
1720.3203125,22871
1721.9765625,22875
1723.8203125,22868
1725.6015625,22893
1727.5859375,22883
1728.6015625,22871
1729.6875,22881
1730.9375,22882
1732.328125,22895
1734.2578125,22887
1735.046875,22863
1736.5234375,22881
1738.3984375,22881
1739.1328125,22889
1740.6171875,22878
1742.6171875,22889
1744.4609375,22885
1746.0390625,22881
1747.6796875,22885
1749.3125,22873
1751.4765625,22864
1753.5390625,22876
1755.1796875,22889
1756.9609375,22879
1758.7734375,22897
1760.1328125,22873
1762.2109375,22881
1763.8515625,22888
1766.0625,22895
1767.96875,22888
1770.1015625,22890
1772.390625,22887
1774.328125,22891
1775.96875,22886
1778.0390625,22881
1780.0546875,22880
1782.0703125,22912
1783.40625,22908
1785.1875,22897
1787.5625,22901
1788.84375,22895
1790.9296875,22886
1792.796875,22913
1794.5546875,22912
1796.3359375,22894
1799.9140625,22904
1801.9140625,22914
1803.953125,22916
1805.140625,22898
1807.1640625,22910
1808.6484375,22895
1810.4921875,22899
1812.7578125,22885
1814.90625,22892
1816.59375,22890
1818.1796875,22893
1819.9609375,22901
1821.4609375,22889
1824.109375,22885
1825.7578125,22874
1827.9140625,22882
1829.234375,22880
1830.2734375,22862
1836.0625,22863
1837.7421875,22883
1839.4140625,22869
1840.6015625,22879
1841.6640625,22853
1843.3515625,22883
1845.109375,22878
1846.921875,22891
1848.5625,22911
1849.75,22868
1851.484375,22890
1852.9140625,22883
1855.4609375,22896
1856.875,22853
1858.03125,22854
1860.96875,22860
1863.1640625,22875
1864.3203125,22881
1865.6953125,22855
1867.7109375,22866
1868.9140625,22888
1870.9375,22871
1872.171875,22858
1873.2734375,22859
1874.984375,22881
1876.5234375,22869
1878.015625,22886
1879.7265625,22881
1881.3828125,22883
1883.015625,22881
1884.0390625,22878
1886.1328125,22883
1887.7734375,22888
1889.7890625,22880
1891.7109375,22876
1893.671875,22886
1894.875,22895
1896.8671875,22890
1898.5703125,22899
1900.0390625,22904
1901.15625,22883
1902.875,22891
1904.3203125,22892
1906.4765625,22899
1908.0625,22898
1909.8046875,22887
1911.71875,22890
1913.8203125,22887
1915.9375,22890
1918.09375,22913
1920.1796875,22894
1921.6875,22892
1923.25,22888
1924.9140625,22890
1926.4453125,22876
1928.125,22891
1929.5703125,22876
1931.5234375,22878
1932.703125,22886
1934.140625,22902
1935.7265625,22897
1937.1171875,22892
1938.8359375,22889
1940.359375,22897
1942.1015625,22888
1944.1015625,22892
1946.1953125,22886
1948.421875,22877
1950.59375,22893
1952.640625,22889
1954.71875,22898
1956.3046875,22894
1958.1953125,22885
1960.3125,22890
1961.7578125,22888
1963.8125,22883
1965.3671875,22882
1967.359375,22895
1968.53125,22891
1970.1328125,22901
1971.625,22891
1973.7890625,22878
1975.75,22886
1977.4296875,22892
1978.9765625,22877
1980.9765625,22875
1983.1015625,22893
1984.5703125,22890
1986.2578125,22888
1987.84375,22891
1989.6640625,22892
1991.7578125,22885
1993.875,22900
1995.9921875,22896
1998.140625,22888
2000.1015625,22894
2001.984375,22897
2003.6328125,22891
2005.3828125,22887
2007.375,22898
2009.671875,22899
2011.328125,22897
2013.375,22898
2015.40625,22894
2017.1015625,22885
2018.1015625,22889
2019.5625,22887
2021.421875,22897
2023.5390625,22882
2025.2578125,22899
2026.75,22910
2027.9453125,22880
2030.03125,22888
2031.7890625,22897
2034.5078125,22903
2035.6484375,22877
2037.421875,22890
2039.2890625,22887
2041.2421875,22893
2042.8828125,22892
2045.875,22886
2047.4609375,22884
2049.1953125,22890
2050.703125,22884
2053.015625,22887
2055.296875,22906
2057.5390625,22896
2059.40625,22900
2061.625,22911
2063.53125,22906
2065.75,22903
2067.6484375,22894
2069.609375,22897
2073.2578125,22897
2074.5078125,22901
2076.375,22893
2078.09375,22887
2079.8984375,22869
2081.859375,22876
2084.1484375,22876
2086.2890625,22887
2088.421875,22889
2090.84375,22897
2092.4140625,22885
2094.6015625,22889
2096.8671875,22905
2098.9296875,22909
2100.828125,22906
2102.734375,22900
2104.7421875,22904
2107.0390625,22908
2109.390625,22894
2113.8984375,22855
2116.25,22856
2118.7578125,22828
2120.7265625,22872
2123.53125,22859
2126.296875,22867
2129.7578125,22879
2133.90625,22877
2135.9453125,22878
2137.953125,22869
2140.484375,22866
2142.5703125,22869
2144.6640625,22872
2146.734375,22869
2148.9765625,22872
2151.1015625,22872
2153.1171875,22870
2155.2109375,22879
2157.9140625,22875
2161.015625,22872
2163.5234375,22879
2165.2265625,22880
2167.71875,22863
2170.2578125,22871
2172.1953125,22879
2174.4375,22872
2176.5703125,22875
2178.7421875,22872
2180.9140625,22879
2182.8984375,22875
2185.03125,22871
2187.5,22873
2189.671875,22878
2192.109375,22883
2194.4921875,22882
2196.59375,22885
2198.453125,22868
2201.171875,22859
2203.6171875,22864
2205.875,22857
2209.4296875,22860
2211.8828125,22857
2213.3828125,22852
2215.4609375,22857
2218.0390625,22853
2220.296875,22860
2222.453125,22852
2224.9375,22855
2228.9765625,22786
2232.2734375,22854
2235.015625,22850
2237.328125,22852
2239.4921875,22845
2241.2734375,22859
2243.9453125,22841
2245.8203125,22850
2248.4921875,22849
2250.9140625,22847
2253.4609375,22845
2255.8046875,22853
2258.3515625,22843
2260.5390625,22852
2262.7421875,22849
2264.8125,22848
2266.8828125,22848
2269.0703125,22842
2273.9609375,22846
2278.015625,22793
2279.7734375,22805
2281.9921875,22809
2284.1484375,22803
2290.9453125,22871
2293.328125,22867
2301.1015625,22812
2304.921875,22831
2307.46875,22835
2309.6171875,22835
2311.4140625,22795
2314.2890625,22812
2316.6171875,22824
2319.625,22864
2321.7421875,22826
2324.0234375,22866
2327.4140625,22858
2329.796875,22857
2332.828125,22865
2336.8671875,22869
2339.5078125,22881
2342.921875,22865
2346.2109375,22877
2348.9375,22872
2351.296875,22874
2353.59375,22876
2355.8671875,22873
2358.546875,22874
2361.09375,22875
2363.515625,22873
2365.90625,22875
2368.3828125,22873
2370.78125,22876
2372.9609375,22877
2375.265625,22876
2377.5,22879
2379.6875,22875
2381.703125,22876
2383.8671875,22879
2386.1171875,22878
2388.4765625,22875
2390.75,22871
2393.0078125,22868
2395.375,22869
2397.671875,22866
2400.2109375,22870
2402.953125,22870
2405.3046875,22868
2407.4765625,22865
2409.6171875,22864
2411.640625,22861
2413.671875,22867
2417.6328125,22878
2420.296875,22890
2424.046875,22847
2428.8359375,22835
2430.8359375,22833
2432.859375,22888
2435.2578125,22886
2436.8359375,22875
2438.984375,22902
2441.3359375,22896
2445.1640625,22889
2448.765625,22894
2451.328125,22884
2453.6015625,22887
