------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 17:49:00
Start Date 5/1/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 18:06:21
Download Date 5/1/2023
Current Memory Address: 0
Current Battery Voltage: 4.21     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
5/1/2023 17:49:01.520,-0.305,0.16,0.938
5/1/2023 17:49:01.530,-0.305,0.16,0.938
5/1/2023 17:49:01.540,-0.305,0.16,0.938
5/1/2023 17:49:01.550,-0.305,0.16,0.938
5/1/2023 17:49:01.560,-0.305,0.164,0.934
5/1/2023 17:49:01.570,-0.309,0.16,0.934
5/1/2023 17:49:01.580,-0.309,0.16,0.934
5/1/2023 17:49:01.590,-0.309,0.16,0.934
5/1/2023 17:49:01.600,-0.309,0.168,0.938
5/1/2023 17:49:01.610,-0.309,0.164,0.934
5/1/2023 17:49:01.620,-0.309,0.16,0.93
5/1/2023 17:49:01.630,-0.309,0.164,0.922
5/1/2023 17:49:01.640,-0.309,0.164,0.926
5/1/2023 17:49:01.650,-0.309,0.164,0.934
5/1/2023 17:49:01.660,-0.309,0.168,0.934
5/1/2023 17:49:01.670,-0.301,0.172,0.938
5/1/2023 17:49:01.680,-0.293,0.168,0.941
5/1/2023 17:49:01.690,-0.285,0.172,0.941
5/1/2023 17:49:01.700,-0.285,0.172,0.941
5/1/2023 17:49:01.710,-0.285,0.176,0.941
5/1/2023 17:49:01.720,-0.293,0.168,0.941
5/1/2023 17:49:01.730,-0.297,0.164,0.941
5/1/2023 17:49:01.740,-0.297,0.164,0.941
5/1/2023 17:49:01.750,-0.305,0.16,0.938
5/1/2023 17:49:01.760,-0.305,0.16,0.938
5/1/2023 17:49:01.770,-0.301,0.16,0.934
5/1/2023 17:49:01.780,-0.301,0.164,0.93
5/1/2023 17:49:01.790,-0.297,0.16,0.934
5/1/2023 17:49:01.800,-0.297,0.16,0.938
5/1/2023 17:49:01.810,-0.293,0.16,0.938
5/1/2023 17:49:01.820,-0.293,0.164,0.945
5/1/2023 17:49:01.830,-0.285,0.172,0.949
5/1/2023 17:49:01.840,-0.277,0.172,0.945
5/1/2023 17:49:01.850,-0.277,0.164,0.941
5/1/2023 17:49:01.860,-0.273,0.164,0.949
5/1/2023 17:49:01.870,-0.273,0.16,0.949
5/1/2023 17:49:01.880,-0.273,0.16,0.953
5/1/2023 17:49:01.890,-0.273,0.164,0.957
5/1/2023 17:49:01.900,-0.277,0.168,0.949
5/1/2023 17:49:01.910,-0.281,0.164,0.949
5/1/2023 17:49:01.920,-0.289,0.16,0.949
5/1/2023 17:49:01.930,-0.285,0.16,0.949
5/1/2023 17:49:01.940,-0.289,0.16,0.949
5/1/2023 17:49:01.950,-0.285,0.164,0.949
5/1/2023 17:49:01.960,-0.277,0.164,0.949
5/1/2023 17:49:01.970,-0.273,0.16,0.949
5/1/2023 17:49:01.980,-0.273,0.164,0.949
5/1/2023 17:49:01.990,-0.27,0.168,0.953
5/1/2023 17:49:02.000,-0.277,0.164,0.945
5/1/2023 17:49:02.010,-0.273,0.16,0.949
5/1/2023 17:49:02.020,-0.273,0.156,0.945
5/1/2023 17:49:02.030,-0.273,0.156,0.945
5/1/2023 17:49:02.040,-0.27,0.16,0.941
5/1/2023 17:49:02.050,-0.27,0.156,0.941
5/1/2023 17:49:02.060,-0.27,0.156,0.941
5/1/2023 17:49:02.070,-0.27,0.16,0.945
5/1/2023 17:49:02.080,-0.27,0.156,0.945
5/1/2023 17:49:02.090,-0.27,0.156,0.949
5/1/2023 17:49:02.100,-0.27,0.16,0.953
5/1/2023 17:49:02.110,-0.27,0.16,0.949
5/1/2023 17:49:02.120,-0.27,0.152,0.949
5/1/2023 17:49:02.130,-0.273,0.156,0.949
5/1/2023 17:49:02.140,-0.266,0.156,0.945
5/1/2023 17:49:02.150,-0.27,0.16,0.949
5/1/2023 17:49:02.160,-0.27,0.16,0.945
5/1/2023 17:49:02.170,-0.273,0.16,0.949
5/1/2023 17:49:02.180,-0.273,0.156,0.953
5/1/2023 17:49:02.190,-0.27,0.152,0.949
5/1/2023 17:49:02.200,-0.27,0.152,0.949
5/1/2023 17:49:02.210,-0.27,0.152,0.953
5/1/2023 17:49:02.220,-0.262,0.156,0.957
5/1/2023 17:49:02.230,-0.266,0.156,0.957
5/1/2023 17:49:02.240,-0.266,0.156,0.961
