time [s],inspiration [NA](/api/datatype/34/)
393.3671875,22102
397.2890625,22104
399.3984375,22108
401.4609375,22109
403.5234375,22101
405.625,22105
408.171875,22099
410.2734375,22094
413.40625,22092
415.5390625,22098
417.1171875,22090
419.6640625,22097
421.6953125,22097
424.0703125,22101
425.8046875,22100
428.3828125,22103
430.609375,22094
432.9765625,22097
435.6484375,22085
438.4765625,22098
441.1328125,22107
443.9453125,22094
446.296875,22088
451.5,22068
452.96875,22061
456.0234375,22083
459.5390625,22082
463.296875,22077
465.8984375,22076
469.7734375,22104
472.6015625,22106
474.828125,22097
476.8671875,22094
478.890625,22100
481.421875,22094
483.84375,22105
485.8515625,22096
488.40625,22089
490.46875,22095
492.96875,22094
497.4765625,22091
500.90625,22093
503.4765625,22097
504.9765625,22095
507.5390625,22093
509.9921875,22098
512.046875,22096
514.8828125,22093
517.015625,22095
519.09375,22090
521.1328125,22081
524.6796875,22095
528.2578125,22096
530.7265625,22084
532.890625,22093
534.9609375,22096
538.2265625,22098
541.3671875,22094
543.953125,22088
546.2265625,22096
548.4296875,22098
551.015625,22114
553.375,22106
556.0,22104
557.5078125,22101
560.015625,22099
562.046875,22100
564.0859375,22098
565.9140625,22096
568.1484375,22099
570.5625,22098
572.59375,22104
574.7421875,22088
578.8125,22097
581.828125,22100
583.890625,22101
586.4375,22097
588.5,22100
590.625,22099
592.375,22097
593.953125,22090
596.6484375,22119
598.5,22091
600.40625,22103
602.546875,22105
605.1484375,22090
606.765625,22072
608.3671875,22083
610.578125,22059
615.140625,22100
622.0703125,22104
624.0859375,22092
626.9140625,22071
629.6328125,22079
632.2265625,22098
634.171875,22099
637.3671875,22105
639.5,22097
640.875,22095
643.390625,22093
648.4453125,22103
650.9921875,22103
653.5234375,22100
655.4140625,22085
656.921875,22074
659.3203125,22089
661.2421875,22089
663.6640625,22073
664.703125,22085
666.6796875,22101
667.5703125,22059
668.921875,22115
670.765625,22102
672.5859375,22083
674.3671875,22096
676.40625,22101
678.234375,22094
680.03125,22099
683.3125,22098
684.3046875,22064
685.2890625,22094
687.328125,22085
689.6875,22104
692.0625,22082
694.78125,22090
695.9765625,22115
697.6015625,22097
699.7265625,22092
701.4375,22104
703.40625,22104
705.15625,22101
706.9375,22104
708.8203125,22106
711.1953125,22100
713.1171875,22101
714.9609375,22090
717.40625,22113
719.015625,22115
720.5703125,22125
722.2734375,22092
724.9765625,22122
727.15625,22112
728.21875,22064
731.7734375,22090
734.015625,22109
735.859375,22104
737.6953125,22094
741.625,22114
743.734375,22104
746.375,22104
748.2421875,22110
749.71875,22088
752.234375,22116
754.15625,22103
755.78125,22105
757.59375,22098
760.125,22090
763.0078125,22083
765.0078125,22089
768.6328125,22108
770.71875,22109
777.796875,22111
780.1484375,22109
781.546875,22097
786.9375,22105
793.7109375,22115
795.6171875,22109
801.6015625,22106
804.6171875,22103
806.921875,22119
809.03125,22102
810.6953125,22108
812.765625,22113
814.703125,22109
817.171875,22118
819.265625,22117
824.390625,22100
828.203125,22103
832.5234375,22089
835.0078125,22102
842.375,22091
845.4140625,22098
848.8671875,22101
851.484375,22108
855.09375,22097
858.3125,22101
860.1484375,22099
863.4140625,22109
865.640625,22112
867.4765625,22086
870.2578125,22104
873.984375,22099
877.84375,22114
879.8671875,22118
881.4296875,22107
883.078125,22113
885.234375,22105
887.1328125,22117
888.1328125,22118
889.9921875,22121
892.109375,22117
893.5234375,22113
895.5234375,22091
896.5546875,22117
898.6171875,22120
900.6953125,22114
902.6953125,22124
904.5,22116
905.5703125,22123
907.4609375,22109
909.03125,22112
911.640625,22113
914.0,22119
916.703125,22098
919.640625,22114
921.34375,22112
923.4609375,22112
925.8515625,22080
930.1953125,22096
933.0546875,22108
936.484375,22104
939.625,22104
942.796875,22095
944.015625,22098
946.3515625,22095
948.484375,22106
950.65625,22112
952.6171875,22112
954.4765625,22122
956.46875,22116
957.9453125,22119
959.953125,22123
961.71875,22120
967.734375,22121
969.09375,22116
970.265625,22105
973.234375,22105
975.0703125,22115
977.0390625,22125
978.9453125,22110
980.4765625,22115
982.5234375,22116
984.625,22114
986.2890625,22116
988.578125,22113
990.2578125,22110
992.34375,22114
994.3671875,22105
996.8984375,22146
998.9765625,22109
1000.4765625,22101
1002.8671875,22098
1004.734375,22091
1007.890625,22102
1009.8828125,22114
1014.5390625,22110
1018.96875,22108
1020.8125,22119
1023.421875,22112
1027.390625,22111
1029.578125,22117
1030.921875,22114
